,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,MEMBER-SINCE,SEX,OCCUPATION-CODE,BLACK-LIST-CODE,BLACK-LIST-DATE,SPENDING-LIMIT,AVG-PAYMENTS,AVG-BALANCES,LAST-TRX-DATE,PY-AMT-CASH,YTD-AMT-CASH,YTD-MAX-BUCKET,PY-MAX-BUCKET,ACCOUNT-STATUS,CURRENT-BALANCE,BRANCH-CODE,AGE,AUTOMATIC-REPAYMENT,TARGET
0,0,0,0,01/10/1999,1,0,1,26/06/2001,1000000.0,6250.0,1048039,1,0,0,7,4,0.0,1144101.0,569,34.0,1,1
1,1,1,1,01/10/1999,0,0,1,05/12/2000,1000000.0,4167.0,274899,1,0,0,0,7,0.0,906618.0,466,49.0,1,1
2,2,2,2,01/10/1999,0,0,0,0,1000000.0,25833.0,916514,1,0,100000,2,0,0.0,875502.0,69,35.0,0,1
3,3,3,3,01/10/1999,1,0,1,05/12/2000,1000000.0,25253.0,264578,1,0,0,0,7,0.0,906618.0,466,50.0,1,1
4,4,4,4,01/10/1999,1,0,0,0,1000000.0,45417.0,728448,1,0,425000,0,0,0.0,870304.0,569,33.0,0,0
5,5,5,5,01/10/1999,1,0,0,0,1000000.0,16667.0,930709,1,0,0,7,3,0.0,947081.0,466,45.0,1,1
6,6,6,6,01/10/1999,1,0,0,0,1000000.0,24750.0,857015,1,0,0,0,0,0.0,800988.0,269,36.0,1,0
7,7,7,7,01/10/1999,0,0,0,0,500000.0,26000.0,414781,1,500000,200000,0,0,0.0,444585.0,269,40.0,1,0
8,8,8,8,01/10/1999,1,0,1,27/06/2000,1000000.0,25253.0,0,1,0,0,0,0,0.0,906618.0,468,37.0,0,0
9,9,9,9,01/10/1999,1,0,0,0,1000000.0,24750.0,933516,1,100000,100000,0,0,0.0,984469.0,267,52.0,1,0
10,10,10,10,01/10/1999,1,0,0,0,1000000.0,26667.0,810980,1,900000,0,4,2,0.0,745341.0,467,53.0,0,1
11,11,11,11,01/10/1999,1,0,0,0,1000000.0,67886.0,793479,1,0,0,5,3,0.0,287037.0,567,35.0,1,1
12,12,12,12,01/10/1999,1,0,0,0,1000000.0,24750.0,857726,1,0,0,0,0,0.0,801756.0,567,40.0,1,0
13,13,13,13,01/10/1999,1,0,1,15/02/2001,1000000.0,85125.0,378783,1,0,0,0,0,0.0,906618.0,469,51.0,0,0
14,14,14,14,01/10/1999,0,0,1,05/12/2000,1000000.0,85517.0,251741,1,0,0,0,7,0.0,147.0,467,33.0,1,1
15,15,15,15,01/10/1999,1,0,0,0,1000000.0,24750.0,883491,1,0,0,0,0,0.0,810118.0,568,55.0,0,0
16,16,16,16,01/10/1999,1,0,0,0,1000000.0,23250.0,860577,1,0,0,0,0,0.0,779560.0,568,35.0,0,0
17,17,17,17,01/10/1999,0,0,0,0,1000000.0,39917.0,769698,1,0,0,3,3,0.0,648956.0,467,30.0,1,1
18,18,18,18,01/10/1999,1,0,0,0,1000000.0,32833.0,828868,1,0,0,0,0,0.0,700210.0,65,43.0,1,0
19,19,19,19,01/10/1999,0,0,0,0,1000000.0,100500.0,696291,1,0,1000000,2,2,0.0,902240.0,65,45.0,1,1
20,20,20,20,01/10/1999,1,0,1,05/12/2000,500000.0,25253.0,119444,1,0,0,0,7,0.0,906618.0,66,31.0,0,1
21,21,21,21,01/10/1999,1,0,0,0,1000000.0,104583.0,916367,1,100000,950000,3,2,0.0,906618.0,567,44.0,1,1
22,22,22,22,01/10/1999,1,0,0,0,1000000.0,44000.0,727173,1,0,0,0,0,0.0,576696.0,567,45.0,1,0
23,23,23,23,01/10/1999,1,0,1,12/02/2001,1000000.0,91208.0,395423,1,0,0,6,7,0.0,906618.0,265,24.0,0,1
24,24,24,24,01/10/1999,1,0,0,0,1000000.0,29167.0,849986,1,0,0,0,0,0.0,723257.0,569,50.0,0,0
25,25,25,25,01/10/1999,0,0,1,07/06/2001,1000000.0,98649.0,652478,1,0,100000,4,3,0.0,906618.0,265,30.0,0,1
